Video,Video title,Video publish date,Comments,Shares,DisLikes,Likes,Subscribers lost,Subscribers gained,RPM (USD),CPM (USD),Average Percentage viewed(%),Average view Duration,Views,Subscribers,Your Estmated Revenue (USD),Impressions,Impressionss click-through rate (%),Watch time,Publish Month,Publish Day,Publish Weekday,Is Weekend,Likes per View,Dislikes per View,Comments per View,Shares per View,Subscribers per View,Average view Duration (sec),Watch time (sec),Performance
k4r_NtB4JVQ,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,5,8,2,42,2,17,2.445,12.182,34.52,0 days 00:02:39,816,880,1.995,54472,0.53,1 days 12:08:46.680000,11,25,Monday,False,0.051407588739290085,0.0024479804161566705,0.006119951040391677,0.009791921664626682,1.0771113831089352,159.0,130126.68,Low
1UjMBw_7Gi8,Data Science: Startup vs. Large Corporation,2019-03-21,4,3,5,66,0,19,4.906,14.61,47.65,0 days 00:02:13,1703,988,8.345,44105,2.58,2 days 15:06:49.680000,3,21,Thursday,False,0.03873239436619718,0.0029342723004694834,0.002347417840375587,0.0017605633802816902,0.57981220657277,133.0,227209.68,Low
k-gin1qfzi0,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4,32,2,63,0,24,2.358,11.647,11.74,0 days 00:02:35,2794,724,6.582,70051,2.47,5 days 00:22:15.600000,9,4,Wednesday,False,0.02254025044722719,0.0007155635062611807,0.0014311270125223613,0.01144901610017889,0.2590339892665474,155.0,433335.6,Low
qUK5Vk4NvBw,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,4,16,0,133,12,22,3.078,6.219,7.83,0 days 00:04:52,2038,999,6.269,138024,0.64,6 days 21:30:01.439999999,10,12,Tuesday,False,0.06522805296714075,0.0,0.00196174595389897,0.00784698381559588,0.4899460519862678,292.0,595801.439999999,Low
smeFkHwnM_k,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,4,5,0,30,0,47,4.992,37.786,55.43,0 days 00:00:28,1225,47,6.115,27960,1.01,0 days 09:37:07.680000,3,3,Sunday,True,0.024469820554649267,0.0,0.0032626427406199023,0.004078303425774877,0.03833605220228385,28.0,34627.68,Low
FBgs-BSTIJE,Demystifying Data Science Roles,2018-11-30,3,5,1,48,1,8,5.218,16.232,55.55,0 days 00:03:28,978,987,5.103,26202,2.24,2 days 08:35:34.800000,11,30,Friday,False,0.049029622063329927,0.0010214504596527069,0.0030643513789581204,0.005107252298263534,1.0081716036772217,208.0,203734.8,Low
Yr5T3T4tq-g,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,3,0,0,44,0,5,3.374,15.596,58.62,0 days 00:02:06,548,775,1.849,21780,1.61,0 days 19:16:30.720000,5,25,Saturday,True,0.08014571948998178,0.0,0.00546448087431694,0.0,1.4116575591985427,126.0,69390.72,Low
j-Z-je6K4Yg,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,3,1,0,35,0,7,3.784,12.59,60.52,0 days 00:01:52,721,447,2.728,18635,2.65,0 days 22:32:42,12,18,Tuesday,False,0.04847645429362881,0.0,0.004155124653739612,0.0013850415512465374,0.6191135734072022,112.0,81162.0,Low
5jntoZX-Tc8,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,2,5,0,38,0,3,2.651,12.206,16.93,0 days 00:03:09,1094,773,2.9,34642,1.99,2 days 09:38:10.680000,5,5,Sunday,True,0.034703196347031964,0.0,0.0018264840182648401,0.0045662100456621,0.7059360730593607,189.0,207490.68,Low
5p73cIRYCZg,ProjectDemoCSC478_UFCFightData,2017-06-06,78,2,0,1,0,0,0.05,11.442779279279279,8.79,0 days 00:01:04,60,781,0.003,365,11.51,0 days 01:04:06.240000,6,6,Tuesday,False,0.01639344262295082,0.0,1.278688524590164,0.03278688524590164,12.80327868852459,64.0,3846.24,Low
